"pager_first","« First"
"pager_previous","‹ Previous"
"pager_next","Next ›"
"pager_last","Last »"
"main","Home"
"discussion_node","Discussion"
"user_register","Register"
"user_login","Login"
"user_logout","Logout"
"user_detail","User Detail"
"problem_main","Problem Set"
"problem_solution","Problem Solution"
"discussion_main","Discussion"
"discussion_create","Create Discussion"
"record_main","Judging Queue"
"home_messages","Messages"
"home_account","Account"
"home_security","Security"
"judge_playground","Judge Playground"
"contest_main","Contest"
"contest_status","Contest Status"
"contest_create","Contest Create"
"training_main","Training"
"record_detail","Record Detail"
"problem_edit","Problem Edit"
"problem_create","Problem Create"
"setting_preference","Preference"
"setting_info","Personal Info"
"setting_privacy","Privacy"
"setting_function","Function"
